QUESTION,ANSWER
,
"Where to send the queries related to portal and approval related issues for the approval
process 2021-22?","Institute are requested to raises queries only through online Grievance Redressal mechanism
available on AICTE website under Approval Process 2021-22 quick links. No queries through
email will be entertained."
"Is it mandatory for an Institution offering Courses in Architecture and Pharmacy to obtain
Approval from AICTE?","In compliance of the order dated 08.11.2019 passed by the Hon’ble Supreme Court of Indian
CA No.364/ 2005, for the existing Institutions offering Courses in Architecture Programme,
approval by the Council of Architecture (CoA) is mandatory and AICTE approval is NOT
required. In compliance of the order dated 05.03.2020 passed by the Hon’ble Supreme Court of India
in Transferred Petitions (CIVIL) No 87-101 of 2014, for the existing institutions offering
courses in Pharmacy Programme, approval of Pharmacy Council of India (PCI) is mandatory
and AICTE approval is NOT required.
State Public and Private Universities and Central Universities are also not required to take
AICTE approval as per the AICTE Act. However, some of the Universities are seeking approval
of AICTE for availing the benefits of AICTE schemes/initiatives as per the prevailing
policies/norms. Similarly, INTERESTED Architecture and Pharmacy Institutions may apply to
AICTE as a New Institutions or for Extension of Approval (EoA), provided, they are already
having valid approval of CoA and PCI, respectively on the day of application."
Does AICTE allow Arts and Science Courses in an Institution offering Engineering Courses?,"Conduct of any other Academic Courses (Technical/Non-Technical):
The Institutions may conduct Academic Courses (Technical/ Non-Technical of any other
Regulatory Body) using the existing facilities in excess or by creating additional facilities as
per the provisions laid down in the norms and standards of the respective Regulatory Body
without affecting the quality of education prescribed by all the Regulatory Bodies after taking
NOC from the Council following the procedure specified in the Approval Process Handbook.
However, the Applicant has to make Material/ Non-Material amendment of the Building Plan,
Site Plan, etc. approved by the concerned Competent Authority (if applicable) to suit the
requirements of the new Programme/ Level.
The total land required shall be the highest amongst the programs/ levels being offered by the
Institute. However, institute shall have sufficient built up area to cover all the requirements
of ALL the programs/ levels conducted as per the provisions of Approval Process Handbook.
The institute shall extends to provide ample space for play-ground (owned or hired) facilities
for indoor and outdoor sports for the students either in the Campus or through arrangements
with other adjacent Institutions, Corporation grounds, private facilities, etc"
"Whether establishment of a new Technical Institution to offer Courses in Engineering and
Technology is permissible in Academic Year 2021-22?","The Council shall NOT grant approval to New Technical Institutions at the Diploma/ Under
Graduate/ Post Graduate Level in Engineering and Technology in line with the
recommendations of the Committee set up by AICTE to provide National Perspective Plan for
Technical Programmes. However, establishment of New Technical Institutions in Engineering
and Technology shall be permitted only in conditions as specified in Chapter I of APH 2021-
22."
"Whether AICTE approval is needed for running MCA Course in our Arts and Science
College?","Yes. Refer Clause 1.3.5 of APH 2021-22. In case of non-Technical Institutions seeking
approval for conducting MCA/ MBA and University Departments/ Constituent Colleges
seeking approval for conducting MCA/ MBA/ M.Tech. Programmes apart from their existing
Courses, separate building and Principal are NOT required. However, in such cases all other norms (as per APH 2021-22) such as separate Head of the Department, Faculty, Infrastructure, Built-Up area, etc. should be fulfilled."
"Whether MCA/ MBA Department of Arts and Science College is eligible to apply for AICTE
approval?","Yes. Refer Clause 1.3.5 of APH 2021-22. In case of non-Technical Institutions seeking
approval for conducting MCA/ MBA and University Departments/ Constituent Colleges
seeking approval for conducting MCA/ MBA/ M.Tech. Programmes apart from their existing
Courses, separate building and Principal are NOT required. However, in such cases all other norms (as per APH 2021-22) such as separate Head of the Department, Faculty, Infrastructure, Built-Up area, etc. should be fulfilled."
"Can we apply for closure of the existing Institution and open a new Institution at the same
premises?","Yes. The existing Institution applied for Closure of the Institution are also eligible to apply for
starting a new Technical Institution in the same premises in the same Academic year.
Technical Institutions applying under this Clause shall have to apply for Progressive/
Complete Closure of the Institution for the existing Programme(s) and shall apply for a
different Programme. However, the Applicant has to make Material/ Non-Material
amendment of the Building Plan, Site Plan, etc. duly approved by the concerned Competent
Authority (if applicable) to suit the requirements of the new Programme. In case of change in
Building Plan, the approval of present Competent Authority is required."
"Whether a New Institution is obligated to appoint a Principal and Faculty at the time of
application for approval or subsequent to approval before commencement of the Course?
Whether the Faculty to be appointed are for the First Year of the Course or for the entire
period of the Course?","The New Institution is obligated to appoint a Principal and Faculty before the commencement
of the Course. The Faculty to be appointed are for the First Year of the Course and it will be
progressively done each year so that an Expert Visit Committee (EVC) conducted any time
before the first batch of students has passed out, the availability of the facilities of an
Institution as per the norms in Approval Process Handbook shall be verified."
We have been granted LoI in 2020-21 and LoA was rejected. How can we get LoA this year?,"Applicants issued Letter of Intent (LoI) but rejected after the Expert Visit Committee shall
inform the Council about their readiness of infrastructure after making the payment of TER
Charges as per Clause 1.4.2 of APH 2021-22 through online mode for conduct of another
Expert Visit Committee (EVC). The validity of LoI is Two Years from the year of issue of LoI.
In this case the validity upto 2022-23."
